Date,Price,Open,High,Low
2021-11-09,1631.69,1626.8,1633.76,1623.64
2021-11-10,1630.47,1627.67,1633.43,1625.13
2021-11-11,1632.44,1629.28,1634.44,1626.8
2021-11-12,1633.94,1636.63,1640.66,1632.88
2021-11-15,1638.73,1636.41,1642.6,1635.22
2021-11-16,1644.01,1642.05,1648.43,1639.08
2021-11-17,1644.6,1646.86,1651.51,1642.36
2021-11-18,1651.02,1643.39,1653.68,1642.5
2021-11-19,1645.06,1653.36,1656.27,1641.52
2021-11-22,1649.54,1648.14,1653.33,1645.09
2021-11-23,1646.42,1652.62,1654.49,1644.02
2021-11-24,1649.82,1650.54,1658.6,1647.9
2021-11-25,1648.46,1654.94,1656.46,1644.87
2021-11-26,1610.61,1639.54,1640.91,1608.55
2021-11-29,1589.69,1608.01,1617.55,1587.78
2021-11-30,1568.69,1601.52,1612.1,1565.95
2021-12-01,1590.81,1576.26,1591.86,1563.04
2021-12-02,1591.84,1583.38,1592,1580.08
2021-12-03,1588.19,1593.08,1597.25,1587.53
2021-12-06,1588.19,1593.08,1597.25,1587.53
2021-12-07,1609.28,1600.17,1611.58,1595.14
2021-12-08,1618.36,1617.09,1621.21,1610.3
2021-12-09,1618.23,1621.63,1623.82,1612.57
2021-12-10,1618.23,1621.63,1623.82,1612.57
2021-12-13,1625.83,1626.26,1628.93,1618.57
2021-12-14,1630.64,1619.69,1630.93,1616.51
2021-12-15,1623.66,1628.01,1630.89,1622.49
2021-12-16,1645.32,1629.48,1645.44,1624.31
2021-12-17,1641.73,1644.1,1646.85,1637.09
2021-12-20,1615.8,1631.22,1633.8,1612.96
2021-12-21,1622.25,1623.2,1628.84,1618.57
2021-12-22,1626.79,1628.42,1632.33,1624.77
2021-12-23,1641.47,1633.2,1645.71,1632.9
2021-12-24,1637.22,1642.64,1644.12,1635.19
2021-12-27,1636.5,1641.28,1642.42,1632.79
2021-12-28,1641.52,1640.97,1650.28,1640.61
2021-12-29,1653.33,1643.43,1654.98,1641.75
2021-12-30,1657.62,1657.29,1660.85,1652.37
2021-12-31,1657.62,1657.29,1660.85,1652.37
2022-01-03,1657.62,1657.29,1660.85,1652.37
2022-01-04,1670.28,1664.51,1674.19,1663.5
2022-01-05,1676.79,1672.89,1677.95,1670.59
2022-01-06,1653.03,1663.59,1666.22,1653.03
2022-01-07,1657.62,1659.15,1662.42,1650.53
2022-01-10,1657.06,1661.5,1664.23,1654.05
2022-01-11,1667.12,1659.33,1667.7,1659
2022-01-12,1678.5,1676.03,1680.85,1673
2022-01-13,1680.02,1680.83,1682.71,1675.74
2022-01-14,1672.63,1676.58,1680.02,1670.7
2022-01-17,1676.87,1675.81,1680.39,1672.93
2022-01-18,1660.27,1680.28,1682.93,1660.15
2022-01-19,1658.24,1658.86,1667.44,1653.38
2022-01-20,1656.96,1663.31,1666.6,1656.47
2022-01-21,1652.73,1651.21,1655.42,1641.86
2022-01-24,1640.54,1650.34,1654.99,1639.14
2022-01-25,1639.09,1636.33,1641.68,1624.29
2022-01-26,1643.44,1645.49,1649.82,1642.07
2022-01-27,1634.17,1633.78,1635.14,1617.87
2022-01-28,1639.51,1637.82,1646.48,1636.7
2022-01-31,1648.81,1647.68,1655.48,1646.88
2022-02-01,1661.75,1659.43,1663.76,1658.26
2022-02-02,1667.75,1665.8,1669.5,1658.58
2022-02-03,1669.05,1664.63,1673.75,1664.09
2022-02-04,1674.22,1672.9,1678.72,1672.39
2022-02-07,1677.24,1679.08,1681.17,1667.29
2022-02-08,1684.23,1680.61,1685.14,1677.48
2022-02-09,1703.16,1689.52,1708.03,1688.95
2022-02-10,1703,1705.73,1707.44,1696.73
2022-02-11,1699.2,1694.71,1703.95,1690.69
2022-02-14,1684.69,1692.89,1694.19,1680.83
2022-02-15,1701.45,1688.67,1702.74,1687.18
2022-02-16,1701.45,1688.67,1702.74,1687.18
2022-02-17,1711.58,1709.5,1718.55,1708.43
2022-02-18,1713.2,1709.03,1716.14,1703.6
2022-02-21,1694.32,1712.95,1713.87,1692.13
2022-02-22,1691.12,1681.24,1691.62,1673.31
2022-02-23,1696.45,1694.07,1700.35,1686.09
2022-02-24,1662.72,1683.92,1690.5,1656.62
2022-02-25,1679.9,1676.12,1684.5,1670.13
2022-02-28,1685.18,1678.05,1690.61,1668.05
2022-03-01,1694.28,1694.95,1701.69,1690.82
2022-03-02,1689.81,1694.64,1699.58,1684.53
